course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
BUS 101,Core Course in Business,1L,581,3.52,0.48,3.67,60.5,35.2,2.7,0.0,0.3,0.0,0.0,0.0,1.2,588,SP2025,Zharaskhan Temirkhanov
BUS 101,Core Course in Business,1L,581,3.52,0.48,3.67,60.5,35.2,2.7,0.0,0.3,0.0,0.0,0.0,1.2,588,SP2025,Moldir Kaiynbayeva
BUS 101,Core Course in Business,1L,581,3.52,0.48,3.67,60.5,35.2,2.7,0.0,0.3,0.0,0.0,0.0,1.2,588,SP2025,Timothy Wawn
BUS 420,Business Law,1L,50,3.29,0.52,3.33,34.0,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,50,SP2025,Mirat Akshalov
BUS 420,Business Law,1L,50,3.29,0.52,3.33,34.0,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,50,SP2025,Roza Nurgozhayeva
BUS 420,Business Law,2L,50,3.3,0.63,3.67,54.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50,SP2025,Mirat Akshalov
BUS 420,Business Law,2L,50,3.3,0.63,3.67,54.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50,SP2025,Roza Nurgozhayeva
FIN 201,Principles of Finance,1L,52,3.32,0.54,3.33,42.3,48.1,9.6,0.0,0.0,0.0,0.0,0.0,0.0,52,SP2025,Mirat Akshalov
FIN 201,Principles of Finance,1L,52,3.32,0.54,3.33,42.3,48.1,9.6,0.0,0.0,0.0,0.0,0.0,0.0,52,SP2025,Tom Vinaimont
FIN 201,Principles of Finance,2L,10,3.5,0.42,3.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,SP2025,Mirat Akshalov
FIN 201,Principles of Finance,2L,10,3.5,0.42,3.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,SP2025,Tom Vinaimont
OM 201,Operations Management,1L,45,3.25,0.62,3.33,39.6,37.5,16.7,0.0,0.0,0.0,0.0,0.0,6.2,48,SP2025,Mirat Akshalov
OM 201,Operations Management,1L,45,3.25,0.62,3.33,39.6,37.5,16.7,0.0,0.0,0.0,0.0,0.0,6.2,48,SP2025,Narendra Singh
CHME 202,Fluid Mechanics,1L,26,3.46,0.5,3.67,53.6,35.7,3.6,0.0,0.0,0.0,0.0,7.1,0.0,28,SP2025,Yanwei Wang
